fraction,n,repeat,class,auc
0.1,99,0,观察,0.7161871207672735
0.1,99,0,内镜,0.7302350427350427
0.1,99,0,手术,0.9153678565443271
0.1,99,0,宏平均,0.7872633400155479
0.1,99,1,观察,0.6607946760618516
0.1,99,1,内镜,0.6660657051282051
0.1,99,1,手术,0.905982905982906
0.1,99,1,宏平均,0.7442810957243209
0.1,99,2,观察,0.7040516735173223
0.1,99,2,内镜,0.6875
0.1,99,2,手术,0.9136919725155019
0.1,99,2,宏平均,0.7684145486776082
0.1,99,3,观察,0.6656880015658642
0.1,99,3,内镜,0.6326789529914529
0.1,99,3,手术,0.9172113289760349
0.1,99,3,宏平均,0.7385260945111174
0.1,99,4,观察,0.6548574411169831
0.1,99,4,内镜,0.6929086538461539
0.1,99,4,手术,0.9001173118820177
0.1,99,4,宏平均,0.7492944689483849
0.1,99,5,观察,0.6292164154759575
0.1,99,5,内镜,0.6368189102564102
0.1,99,5,手术,0.8893916540975365
0.1,99,5,宏平均,0.7184756599433014
0.1,99,6,观察,0.6327396098388465
0.1,99,6,内镜,0.6559161324786325
0.1,99,6,手术,0.9133567957097368
0.1,99,6,宏平均,0.7340041793424051
0.1,99,7,观察,0.6607946760618515
0.1,99,7,内镜,0.6505742521367521
0.1,99,7,手术,0.9143623261270319
0.1,99,7,宏平均,0.7419104181085453
0.1,99,8,观察,0.6861747243426632
0.1,99,8,内镜,0.672809829059829
0.1,99,8,手术,0.8969331322272498
0.1,99,8,宏平均,0.7519725618765807
0.1,99,9,观察,0.6780844261760293
0.1,99,9,内镜,0.6797542735042735
0.1,99,9,手术,0.8905647729177142
0.1,99,9,宏平均,0.749467824199339
0.2,198,0,观察,0.6714947478306257
0.2,198,0,内镜,0.696113782051282
0.2,198,0,手术,0.8833584715937657
0.2,198,0,宏平均,0.7503223338252245
0.2,198,1,观察,0.6986363932928819
0.2,198,1,内镜,0.6940438034188033
0.2,198,1,手术,0.8992793698676051
0.2,198,1,宏平均,0.7639865221930968
0.2,198,2,观察,0.6969400404514908
0.2,198,2,内镜,0.7061965811965811
0.2,198,2,手术,0.9026311379252555
0.2,198,2,宏平均,0.7685892531911093
0.2,198,3,观察,0.7084230443009069
0.2,198,3,内镜,0.7102029914529914
0.2,198,3,手术,0.9316239316239318
0.2,198,3,宏平均,0.78341665579261
0.2,198,4,观察,0.7197755594702161
0.2,198,4,内镜,0.7209535256410257
0.2,198,4,手术,0.9193899782135074
0.2,198,4,宏平均,0.786706354441583
0.2,198,5,观察,0.6687544855483787
0.2,198,5,内镜,0.6775507478632479
