类别,变量,系数,OR,插补间SD
观察,age_years,0.0018071085863362092,1.0018087423910635,0.004790832885422957
观察,male,0.005076696484086641,1.0050896047422075,0.003846820393470484
观察,weight_kg,0.07926630549418821,1.0824925574047395,0.011129903758439495
观察,temp_c,0.0,1.0,0.0
观察,log_ingest_hours,-0.25743430809243906,0.7730324066189347,0.01111019462186679
观察,fb_battery,0.0,1.0,0.0
观察,fb_magnet,0.0,1.0,0.0
观察,fb_sharp,0.0,1.0,0.0
观察,fb_coin,0.0,1.0,0.0
观察,fb_round,-0.08305628646486032,0.9202993453655028,0.005897098971969982
观察,fb_pit,0.0002713796167896834,1.000271416443569,0.0012136465416991505
观察,fb_long,0.0,1.0,0.0
观察,fb_plastic,0.0,1.0,0.0
观察,fb_mercury,0.1793598033780558,1.1964511538986542,0.002028402555273744
观察,fb_multiple,0.005093391373598946,1.0051063847421786,0.0053541993300402395
观察,sym_abdpain,0.0,1.0,0.0
观察,sym_vomit,-0.04378329671687323,0.9571613550084841,0.0068315699541672695
观察,sym_hematemesis,0.0,1.0,0.0
观察,sym_fever,0.0,1.0,0.0
观察,sym_dysphagia,0.0,1.0,0.0
观察,sym_distension,0.0,1.0,0.0
观察,sign_tenderness,0.0,1.0,0.0
观察,sign_peritoneal,-0.07389672484052538,0.9287676075112328,0.007840472380301451
观察,xray_radiopaque,0.14424288880407662,1.1551646510138158,0.01885920570362573
观察,loc_esophagus,-0.30056447454119667,0.7404001656582977,0.04142713952446731
观察,loc_stomach,-0.00037659771285956033,0.9996234731911581,0.0016841961722498474
观察,loc_duodenum,-0.005147345911815035,0.9948658789724051,0.01670739229623062
观察,loc_smallbowel,0.0,1.0,0.0
观察,loc_colorectal,-0.012737076723639862,0.9873436965359971,0.013459358982531651
观察,lab_wbc,0.0,1.0,0.0
观察,lab_neut_pct,-0.2360330220072664,0.7897545942202538,0.026378072416713777
观察,lab_alb,0.0,1.0,0.0
内镜,age_years,0.0,1.0,0.0
内镜,male,0.0,1.0,0.0
内镜,weight_kg,0.0,1.0,0.0
内镜,temp_c,-0.06936801068798416,0.9329832690778873,0.010695556161054259
内镜,log_ingest_hours,0.0,1.0,0.0
