变量,观察,内镜,手术,合计,缺失,P 值,效应量
例数,583,520,135,1238,,,
人口学,,,,,,,
年龄，岁,3.0 (1.6–5.7),3.4 (2.1–5.7),3.3 (2.0–6.2),3.2 (1.8–5.8),,0.023,0.004
体重，kg,15.0 (11.0–21.5),16.0 (12.0–21.0),14.8 (12.0–22.0),15.0 (12.0–21.0),18,0.117,0.002
男性,370 (63.5),333 (64.0),76 (56.3),779 (62.9),,0.236,0.048
误食史,,,,,,,
误食至就诊时长，h,6.0 (4.0–15.0),10.0 (4.5–77.0),72.0 (24.0–144.0),8.0 (4.0–48.0),26,<0.001,0.119
异物类型,,,,,,,
纽扣电池,97 (16.6),55 (10.6),2 (1.5),154 (12.4),,<0.001,0.145
磁性异物,59 (10.1),30 (5.8),62 (45.9),151 (12.2),,<0.001,0.366
尖锐异物,142 (24.4),79 (15.2),3 (2.2),224 (18.1),,<0.001,0.183
硬币或金属钝物,84 (14.4),216 (41.5),7 (5.2),307 (24.8),,<0.001,0.336
圆球状钝物,10 (1.7),12 (2.3),8 (5.9),30 (2.4),,0.015,0.082
果核,42 (7.2),15 (2.9),5 (3.7),62 (5.0),,0.003,0.096
长条状异物,18 (3.1),47 (9.0),3 (2.2),68 (5.5),,<0.001,0.133
塑料或玩具,34 (5.8),34 (6.5),3 (2.2),71 (5.7),,0.156,0.055
水银或体温计,13 (2.2),0 (0.0),0 (0.0),13 (1.1),,0.002,0.109
多发异物,80 (13.7),40 (7.7),35 (25.9),155 (12.5),,<0.001,0.166
症状与体征,,,,,,,
体温，°C,36.5 (36.3–36.6),36.5 (36.3–36.6),36.5 (36.5–36.8),36.5 (36.3–36.6),22,<0.001,0.014
腹痛,107 (18.4),100 (19.2),77 (57.0),284 (22.9),,<0.001,0.284
呕吐,97 (16.6),112 (21.5),80 (59.3),289 (23.3),,<0.001,0.302
呕血或黑便,5 (0.9),1 (0.2),3 (2.2),9 (0.7),,0.044,0.072
发热,45 (7.7),29 (5.6),36 (26.7),110 (8.9),,<0.001,0.221
吞咽困难或流涎,1 (0.2),6 (1.2),0 (0.0),7 (0.6),,0.068,0.067
腹胀,1 (0.2),1 (0.2),11 (8.1),13 (1.1),,<0.001,0.244
腹部压痛,46 (7.9),30 (5.8),60 (44.4),136 (11.0),,<0.001,0.376
腹膜刺激征,7 (1.2),11 (2.1),23 (17.0),41 (3.3),,<0.001,0.269
影像（决策前首次 X 线）,,,,,,,
有决策前 X 线,497 (85.2),373 (71.7),111 (82.2),981 (79.2),,<0.001,0.159
不透 X 线异物,396 (79.7),271 (72.7),61 (55.0),728 (74.2),257,<0.001,0.174
食管,2 (0.4),14 (3.8),2 (1.8),18 (1.8),257,0.003,0.116
胃,9 (1.8),22 (5.9),2 (1.8),33 (3.4),257,0.004,0.110
十二指肠,2 (0.4),4 (1.1),2 (1.8),8 (0.8),257,0.195,0.052
小肠,3 (0.6),0 (0.0),8 (7.2),11 (1.1),257,<0.001,0.208
结直肠,74 (14.9),55 (14.7),16 (14.4),145 (14.8),257,0.992,0.004
实验室（决策前首次结果）,,,,,,,
白细胞计数，10^9/L,8.6 (7.0–10.4),8.4 (7.0–10.2),8.8 (7.3–12.0),8.5 (7.1–10.5),177,0.079,0.003
中性粒细胞百分比，%,39.0 (27.3–51.8),44.2 (33.9–56.0),62.6 (45.0–72.7),42.8 (31.2–56.6),177,<0.001,0.085
白蛋白，g/L,46.1 (44.1–47.8),46.0 (44.1–47.8),44.7 (42.6–46.4),45.9 (43.9–47.6),141,<0.001,0.016
C 反应蛋白，mg/L,0.4 (0.4–0.9),0.4 (0.4–0.8),2.8 (0.4–13.9),0.4 (0.4–1.2),850,<0.001,0.076
